,CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Annual Income ($)-binned
0,1,Male,0.1919191919191919,0.0789581732237043,39,Healthcare,0.058823529411764705,0.4444444444444444,Low
1,2,Male,0.21212121212121213,0.1842357375219767,81,Engineer,0.17647058823529413,0.3333333333333333,Low
2,3,Female,0.20202020202020202,0.4526935264825713,6,Engineer,0.058823529411764705,0.1111111111111111,Medium
3,4,Female,0.23232323232323232,0.31056881467990355,77,Lawyer,0.0,0.2222222222222222,Low
4,5,Female,0.31313131313131315,0.20002737216671754,40,Entertainment,0.11764705882352941,0.6666666666666666,Low
5,6,Female,0.2222222222222222,0.30530493646498996,76,Artist,0.0,0.2222222222222222,Low
6,7,Female,0.35353535353535354,0.1631802246623222,6,Healthcare,0.058823529411764705,0.3333333333333333,Low
7,8,Female,0.23232323232323232,0.44216577005274404,94,Healthcare,0.058823529411764705,0.3333333333333333,Medium
8,9,Male,0.6464646464646465,0.5105961868466211,3,Engineer,0.0,0.3333333333333333,Medium
9,10,Female,0.30303030303030304,0.5158600650615347,72,Artist,0.058823529411764705,0.4444444444444444,Medium
10,11,Male,0.6767676767676768,0.03684714750439534,14,Engineer,0.058823529411764705,0.3333333333333333,Low
11,12,Female,0.35353535353535354,0.48954067398696666,99,Healthcare,0.23529411764705882,0.4444444444444444,Medium
12,13,Female,0.5858585858585859,0.4211102571930896,15,Executive,0.0,0.5555555555555556,Medium
13,14,Female,0.24242424242424243,0.4790129175571394,77,Lawyer,0.058823529411764705,0.1111111111111111,Medium
14,15,Male,0.37373737373737376,0.10001368608335877,13,Doctor,0.0,0.1111111111111111,Low
15,16,Male,0.2222222222222222,0.26845778896059463,79,Healthcare,0.058823529411764705,0.2222222222222222,Low
16,17,Female,0.35353535353535354,0.15265246823249498,35,Homemaker,0.5294117647058824,0.5555555555555556,Low
17,18,Male,0.20202020202020202,0.46848516112731214,66,Healthcare,0.058823529411764705,0.6666666666666666,Medium
18,19,Male,0.5252525252525253,0.1052775642982724,29,Entertainment,0.058823529411764705,0.4444444444444444,Low
19,20,Female,0.35353535353535354,0.3263604493246444,98,Artist,0.0,0.1111111111111111,Low
20,21,Male,0.35353535353535354,0.5053323086317075,35,Homemaker,0.7058823529411765,0.1111111111111111,Medium
21,22,Male,0.25252525252525254,0.021055512859654478,73,Healthcare,0.17647058823529413,0.4444444444444444,Low
22,23,Female,0.46464646464646464,0.22108288502637202,5,Artist,0.7647058823529411,0.2222222222222222,Low
23,24,Male,0.31313131313131315,0.373735353258867,73,Artist,0.29411764705882354,0.2222222222222222,Medium
24,25,Female,0.5454545454545454,0.3526798403992125,14,Executive,0.058823529411764705,0.3333333333333333,Medium
25,26,Male,0.29292929292929293,0.2737216671755082,82,Artist,0.058823529411764705,0.3333333333333333,Low
26,27,Female,0.45454545454545453,0.35794371861412616,32,Healthcare,0.5294117647058824,0.8888888888888888,Medium
27,28,Male,0.35353535353535354,0.41058250076326236,61,Artist,0.058823529411764705,0.3333333333333333,Medium
28,29,Female,0.40404040404040403,0.09474980786844515,31,Artist,0.0,0.1111111111111111,Low
